1,Laptop Dell Inspiron 15,Disponible,Portátil con procesador Intel i5,25,Ninguna,Dell,14
2,Camiseta de algodón,No Disponible,camiseta básica de color blanco,100,Ninguna,MarcaX,12
3,Galletas de chocolate,Disponible,Galletas crujientes con trozos de chocolate,200,Ninguna,MarcaY,321
4,Aspiradora Dyson V11,No Disponible,Aspiradora sin cable potente y ligera,30,Ninguna,Dyson,3213
5,Muñeca Barbie,Disponible,Mujer muñeca con accesorios y ropa intercambiable,150,Ninguna,Mattel,12
6,Smartphone Samsung Galaxy S21,No Disponible,Teléfono inteligente con cámara de alta resolución,40,Ninguna,Samsung,21
7,Pantalones vaqueros ajustados,Disponible,Pantalones de mezclilla para hombre y mujer,80,Ninguna,Levi's,345
8,Cereal integral,No Disponible,Cereal saludable con avena y frutas secas,120,Ninguna,Kellogg's,432
9,Batidora de mano,Disponible,Batidora eléctrica para mezclar ingredientes fácilmente,60,Ninguna,Braun,65
10,Juego de bloques LEGO,No Disponible,Juego de construcción creativa para niños mayores de 5 años,90,Ninguna,LEGO,675
11,Monitor LG UltraWide 29,Disponible,Pantalla ultrapanorámica ideal para multitarea,35,Ninguna,LG,987
12,Chaqueta impermeable,No Disponible,Capa ligera y resistente al agua para días lluviosos,50,Ninguna,Nike,986
13,Chocolate amargo 70%,Disponible,Chocolate negro sin azúcares añadidos,250,Ninguna,Ghirardelli,34
14,Sofá de tres plazas,No Disponible,Sofá cómodo y moderno para sala de estar,15,Ninguna,IKEA,65
15,Peluche de oso,Disponible,Tierno peluche de oso para niños y adultos,200,Ninguna,Gund,12
16,Auriculares Bose QuietComfort 35,No Disponible,Auriculares inalámbricos con cancelación de ruido,20,Ninguna,Bose,43
17,Vestido de verano,Disponible,Vestido ligero y fresco ideal para climas cálidos,70,Ninguna,Zara,54
18,Aceite de oliva virgen extra,No Disponible,Aceite de oliva premium para cocina saludable,180,Ninguna,Bertolli,65
19,Lámpara LED regulable,Disponible,Lámpara moderna con intensidad ajustable para el hogar,45,Ninguna,Xiaomi,76
20,Juego de mesa Catan,No Disponible,Juego estratégico para 3-4 jugadores a partir de 10 años,65,Ninguna,Kosmos,78
21,Teclado mecánico Logitech,Disponible,Gaming teclado mecánico retroiluminado RGB,25,Ninguna,Logitech,876
22,Sudadera con capucha,No Disponible,Sudadera cómoda y suave para uso diario,90,Ninguna,H&M,67
23,Té verde orgánico,Disponible,Té verde en hojas sueltas para infusión natural y saludable,150,Ninguna,Twinings,654
24,Cafetera Nespresso,No Disponible,Cafetera automática para preparar café expreso en casa,40,Ninguna,Nespresso,456
25,Set de figuras Marvel,Disponible,Figuras coleccionables de superhéroes Marvel en miniatura,110,Ninguna,Hasbro,34
26,Proyector portátil,No Disponible,Eproyector compacto ideal para presentaciones y cine en casa ,30,Ninguna,Epson,234
27,Zapatos deportivos Nike,Disponible,Zapatos cómodos ideales para correr o hacer ejercicio ,60,Ninguna,Nike,123
28,Barra energética,No Disponible,Barras energéticas saludables con proteínas y fibra,200,Ninguna,Clif,122
29,Estante modular,Disponible,Mueble modular ideal para organizar espacios en casa,25,Ninguna,IKEA,34
30,Rompecabezas 1000 piezas,No Disponible,Rompecabezas colorido para adultos y niños mayores ,40,Ninguna,Ravensburger,543
31,Cámara digital Canon,Disponible,Cámara compacta con lente zoom y video Full HD,15,Ninguna,Canon,987
32,Bufanda de lana,No Disponible,Bufanda suave y cálida ideal para invierno,75,Ninguna,Zara,453
33,Frutos secos mixtos,Disponible,Mix saludable de nueces y almendras sin sal añadida,300,Ninguna,Planters,234
34,Silla ergonómica,No Disponible,Silla cómoda y ajustable ideal para oficina en casa,20,Ninguna,Herman Miller,987
35,Juego de cartas Uno,Disponible,Juego clásico de cartas divertido para toda la familia,50,Ninguna,Mattel,123
36,Reloj inteligente Fitbit,No Disponible,Reloj inteligente con seguimiento de actividad física,35,Ninguna,Fitbit,213
37,Chaqueta vaquera,Disponible,Capa clásica en denim que nunca pasa de moda,45,Ninguna,Levi's,23
38,Mermelada artesanal,No Disponible,Mermelada sin conservantes elaborada a mano,150,Ninguna,La Casa del Dulce,897
39,Cama matrimonial,Disponible,Cama cómoda con colchón incluido ideal para dormitorio,10,Ninguna,IKEA,543
40,Juguete educativo Montessori,No Disponible,Juguete diseñado para desarrollar habilidades motoras en niños pequeños,80,Ninguna,Montessori,98
41,Altavoz Bluetooth JBL,Disponible,Poderoso altavoz portátil con sonido envolvente,55,Ninguna,JBL,87
42,Calcetines deportivos,No Disponible,Calcetines cómodos ideales para hacer ejercicio o uso diario,150,Ninguna,Adidas,98
43,Sopa instantánea,Disponible,Sopa rápida y fácil de preparar en minutos,200,Ninguna,Nissin,567
44,Mesa extensible,No Disponible,Mesa moderna que se adapta a diferentes espacios en casa,20,Ninguna,IKEA,321
